organismo,nombre,cargo,grado,estamento,sueldo_bruto,fuente,archivo_origen,fecha_procesamiento
Gobierno Regional de Ñuble,Pedro Ramírez,Coordinador,7,Directivo,4143280,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Los Lagos,María Rodríguez,Subdirector,8,Directivo,4569455,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Los Lagos,María López,Jefe de División,8,Directivo,3821522,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Agricultura,María Torres,Coordinador,8,Directivo,4264889,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Salud,María Rodríguez,Coordinador,8,Directivo,4567640,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Ñuble,Carlos Pérez,Director,8,Directivo,3809460,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Medio Ambiente,Juan Rodríguez,Coordinador,8,Directivo,4388728,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de la Mujer,Isabel López,Jefe de Departamento,8,Directivo,4322635,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Magallanes,Elena López,Jefe de Departamento,8,Directivo,4482963,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Trabajo,Luis García,Subdirector,8,Directivo,4649028,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de la Mujer,Isabel Martínez,Subdirector,8,Directivo,4666737,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Valparaíso,María Rodríguez,Jefe de Departamento,9,Directivo,4384147,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de la Mujer,Carlos López,Coordinador,9,Directivo,4009351,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Educación,Carlos López,Subdirector,9,Directivo,4669790,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Hacienda,Ana Torres,Subdirector,9,Directivo,3863261,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Deporte,María Ramírez,Director,9,Directivo,4147303,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Obras Públicas,Carmen Martínez,Jefe de Departamento,9,Directivo,4540623,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Aduanas,Ana Martínez,Coordinador,10,Directivo,3967300,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Defensa,Luis Ramírez,Jefe de División,10,Directivo,3844797,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Menores,Elena Sánchez,Jefe de División,10,Directivo,3983593,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Los Ríos,Pedro Rodríguez,Director,10,Directivo,3770169,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Minería,Isabel García,Jefe de División,10,Directivo,3498022,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Medio Ambiente,Elena Rodríguez,Director,11,Directivo,3225088,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Agrícola y Ganadero,Pedro Ramírez,Jefe de División,11,Directivo,3123602,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de la Mujer,Isabel López,Subdirector,11,Directivo,3805229,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Arica y Parinacota,Miguel García,Jefe de División,11,Directivo,3921790,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Bienes Nacionales,Miguel González,Jefe de Departamento,11,Directivo,3183273,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Los Lagos,Ana Ramírez,Director,11,Directivo,4146885,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional Metropolitano,Luis Ramírez,Subdirector,11,Directivo,3192941,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Los Lagos,Isabel García,Jefe de División,11,Directivo,3902176,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Turismo,Isabel López,Subdirector,11,Directivo,3670748,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de la Mujer,Miguel Hernández,Jefe de División,11,Directivo,3638177,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Turismo,Juan Pérez,Jefe de Departamento,11,Directivo,3557365,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de la Mujer,Juan García,Director,11,Directivo,3579354,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Presidencia de la República,Miguel Ramírez,Jefe de Departamento,11,Directivo,3471123,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Los Ríos,Pedro López,Director,11,Directivo,3089545,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Educación,Elena González,Coordinador,12,Directivo,3083969,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Agrícola y Ganadero,Luis García,Coordinador,12,Directivo,3134157,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Aysén,Juan López,Jefe de Departamento,12,Directivo,3482496,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Aysén,Carmen González,Director,12,Directivo,3255023,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Ciencia,Luis Ramírez,Jefe de División,12,Directivo,3281735,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Aysén,Isabel López,Coordinador,12,Directivo,2638740,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Discapacidad,Carlos Torres,Subdirector,12,Directivo,2920358,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio de Registro Civil,Isabel López,Director,12,Directivo,3637031,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Educación,Luis Ramírez,Director,12,Directivo,3043424,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Hacienda,Isabel Sánchez,Jefe de División,12,Directivo,3187361,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Educación,María Sánchez,Jefe de División,12,Directivo,2948280,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de La Araucanía,María Martínez,Jefe de Departamento,12,Directivo,3231136,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Hacienda,Pedro López,Subdirector,12,Directivo,3300482,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Agrícola y Ganadero,Ana Sánchez,Jefe de Departamento,15,Directivo,1890471,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Salud,Elena García,Subdirector,15,Directivo,2218762,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de La Araucanía,Isabel Rodríguez,Director,15,Directivo,2332766,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Hacienda,Juan López,Coordinador,15,Directivo,2043695,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Bienes Nacionales,María Torres,Jefe de Departamento,15,Directivo,2305228,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Educación,Juan García,Subdirector,15,Directivo,2260223,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Discapacidad,Miguel Hernández,Jefe de División,15,Directivo,2016804,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Salud,Ana López,Jefe de División,15,Directivo,1932714,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Salud,María Hernández,Profesional,5,Profesional,4816413,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Capacitación,María García,Profesional,5,Profesional,5674746,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Turismo,Juan Pérez,Profesional,5,Profesional,5123521,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Valparaíso,Ana González,Analista,5,Profesional,5848045,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Aduanas,Miguel Martínez,Asesor,5,Profesional,4546340,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de las Culturas,Carmen Sánchez,Especialista,5,Profesional,5364660,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Trabajo,Miguel Rodríguez,Analista,5,Profesional,5350797,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de las Culturas,María García,Profesional,5,Profesional,4667937,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio de Impuestos Internos,Luis González,Especialista,5,Profesional,5475902,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Transportes,María Rodríguez,Profesional,5,Profesional,5807860,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Obras Públicas,Ana Torres,Especialista,5,Profesional,5403862,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Salud,Juan Hernández,Consultor,5,Profesional,5844938,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Interior,Juan Ramírez,Profesional,5,Profesional,5177364,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Ciencia,Ana Ramírez,Asesor,5,Profesional,4728839,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Aysén,Ana Sánchez,Consultor,5,Profesional,5913814,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Salud,Miguel Martínez,Consultor,5,Profesional,5490453,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Educación,Isabel García,Consultor,5,Profesional,5792445,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de la Mujer,Carlos López,Consultor,5,Profesional,4685902,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Valparaíso,Elena Martínez,Especialista,5,Profesional,4290127,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio de Registro Civil,Juan Torres,Especialista,5,Profesional,6064729,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional del Consumidor,Isabel Pérez,Consultor,5,Profesional,6008808,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Magallanes,Ana Torres,Profesional,5,Profesional,4771307,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Justicia,Luis Pérez,Consultor,5,Profesional,4751400,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional Metropolitano,Luis Sánchez,Consultor,5,Profesional,5042526,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Defensa,Pedro Torres,Asesor,5,Profesional,5744939,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Arica y Parinacota,Isabel Torres,Profesional,5,Profesional,4816218,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional del Biobío,Elena González,Consultor,6,Profesional,4566022,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Los Ríos,Carlos González,Especialista,6,Profesional,5044267,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Justicia,Juan Sánchez,Analista,6,Profesional,4320406,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio de Impuestos Internos,Miguel Pérez,Profesional,6,Profesional,4073848,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Discapacidad,Elena Pérez,Analista,6,Profesional,4766701,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Defensa,Ana Torres,Profesional,6,Profesional,4363702,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de la Mujer,Juan González,Consultor,6,Profesional,4537978,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio de Registro Civil,Juan Torres,Asesor,6,Profesional,5066534,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Aduanas,Luis García,Asesor,6,Profesional,4796416,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Agrícola y Ganadero,Elena Pérez,Analista,6,Profesional,4675984,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de la Mujer,Elena López,Asesor,6,Profesional,5016996,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Arica y Parinacota,María Rodríguez,Asesor,6,Profesional,5570029,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Interior,Elena González,Analista,6,Profesional,4293320,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Los Lagos,Ana Ramírez,Consultor,6,Profesional,5352103,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Los Lagos,Carmen Ramírez,Profesional,6,Profesional,4304231,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de La Araucanía,Carlos Rodríguez,Asesor,6,Profesional,6140647,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio de Impuestos Internos,Juan García,Analista,6,Profesional,4656535,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Aysén,Juan García,Analista,6,Profesional,4648424,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Arica y Parinacota,Carmen López,Especialista,6,Profesional,4507224,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Ñuble,Isabel Pérez,Analista,6,Profesional,5740667,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Aysén,Miguel Hernández,Especialista,6,Profesional,5033974,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional del Biobío,Pedro Torres,Profesional,6,Profesional,4843762,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Vivienda,María García,Analista,6,Profesional,5495912,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Presidencia de la República,Ana Pérez,Profesional,6,Profesional,5027438,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Educación,Carlos Martínez,Profesional,6,Profesional,5017969,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Vivienda,María Ramírez,Consultor,6,Profesional,4432003,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Deporte,Ana Martínez,Especialista,6,Profesional,5546077,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Obras Públicas,Ana Sánchez,Analista,6,Profesional,4423947,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio de Registro Civil,Pedro González,Analista,6,Profesional,4672363,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de las Culturas,Juan Hernández,Asesor,6,Profesional,4897798,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Trabajo,Ana González,Analista,6,Profesional,5547008,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Vivienda,Ana Hernández,Consultor,6,Profesional,4424232,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Bienes Nacionales,Miguel Rodríguez,Analista,6,Profesional,5556735,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Interior,Juan García,Consultor,6,Profesional,4856373,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Aysén,Carmen Ramírez,Consultor,6,Profesional,4287450,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Turismo,Carmen González,Asesor,6,Profesional,5625175,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Defensa,Carmen Sánchez,Consultor,6,Profesional,4481708,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Interior,Isabel Ramírez,Analista,6,Profesional,4601681,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Pesca,Juan Hernández,Profesional,6,Profesional,4584443,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Arica y Parinacota,Miguel Hernández,Consultor,6,Profesional,5111617,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Justicia,Elena Martínez,Analista,7,Profesional,5094053,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de la Mujer,Ana Pérez,Analista,7,Profesional,4432423,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional del Consumidor,Ana González,Analista,7,Profesional,4843094,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Bienes Nacionales,Isabel Ramírez,Profesional,7,Profesional,4602602,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Salud,Carlos Sánchez,Especialista,7,Profesional,4771986,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Salud,Juan Hernández,Especialista,7,Profesional,4588035,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Arica y Parinacota,Isabel Ramírez,Especialista,7,Profesional,3624524,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de La Araucanía,Pedro Ramírez,Consultor,7,Profesional,4942740,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio de Registro Civil,Ana Pérez,Profesional,7,Profesional,4725950,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Energía,Pedro Martínez,Especialista,7,Profesional,5323953,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Deporte,Isabel González,Especialista,7,Profesional,5483617,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Vivienda,Carlos Torres,Analista,7,Profesional,5451778,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Agrícola y Ganadero,Isabel García,Asesor,7,Profesional,4803241,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Educación,Ana Pérez,Consultor,7,Profesional,4205800,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Discapacidad,Miguel González,Profesional,7,Profesional,5207246,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Defensa,Carmen Pérez,Especialista,7,Profesional,4753302,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
